round,accuracy,loss,shap_cosine,shap_topk,shap_mse,shap_spearman,epsilon_w,epsilon_s
0,95.63,0.19850940430164338,0.0,0.0,0.0,0.0,50.0,0.0
1,98.0,0.06188746255561709,0.0,0.0,0.0,0.0,50.0,0.0
2,98.45,0.04376248690532521,0.0,0.0,0.0,0.0,50.0,0.0
3,98.73,0.037678601022670045,0.0,0.0,0.0,0.0,50.0,0.0
4,98.76,0.034416093618958254,0.0,0.0,0.0,0.0,50.0,0.0
5,98.87,0.03185282937787706,0.0,0.0,0.0,0.0,50.0,0.0
6,99.01,0.02892566949953907,0.0,0.0,0.0,0.0,50.0,0.0
7,99.02,0.02786664409317309,0.0,0.0,0.0,0.0,50.0,0.0
8,99.03,0.027505554440512787,0.0,0.0,0.0,0.0,50.0,0.0
9,98.97,0.026437661796604516,0.0,0.0,0.0,0.0,50.0,0.0
10,99.11,0.02550267723085708,0.0,0.0,0.0,0.0,50.0,0.0
11,99.1,0.025833087266824442,0.0,0.0,0.0,0.0,50.0,0.0
12,99.1,0.025122682376089507,0.0,0.0,0.0,0.0,50.0,0.0
13,99.13,0.024885010342812167,0.0,0.0,0.0,0.0,50.0,0.0
14,99.15,0.02476362205783953,0.0,0.0,0.0,0.0,50.0,0.0
15,99.13,0.02473853607093624,0.0,0.0,0.0,0.0,50.0,0.0
16,99.2,0.02421848526808899,0.0,0.0,0.0,0.0,50.0,0.0
17,99.24,0.024332379182826845,0.0,0.0,0.0,0.0,50.0,0.0
18,99.29,0.023850418096341308,0.0,0.0,0.0,0.0,50.0,0.0
19,99.22,0.024087090917698516,0.0,0.0,0.0,0.0,50.0,0.0
20,99.17,0.024886747517928597,0.0,0.0,0.0,0.0,50.0,0.0
21,99.23,0.023784544312540675,0.0,0.0,0.0,0.0,50.0,0.0
22,99.21,0.024629838782610023,0.0,0.0,0.0,0.0,50.0,0.0
23,99.18,0.024022552555782024,0.0,0.0,0.0,0.0,50.0,0.0
24,99.17,0.024533899222164472,0.0,0.0,0.0,0.0,50.0,0.0
25,99.18,0.025090579469023943,0.0,0.0,0.0,0.0,50.0,0.0
26,99.21,0.02470300774928328,0.0,0.0,0.0,0.0,50.0,0.0
27,99.18,0.02425716939256454,0.0,0.0,0.0,0.0,50.0,0.0
28,99.23,0.024411279470408772,0.0,0.0,0.0,0.0,50.0,0.0
29,99.26,0.02363213978013082,0.0,0.0,0.0,0.0,50.0,0.0
30,99.24,0.02408285696535022,0.0,0.0,0.0,0.0,50.0,0.0
31,99.27,0.0239177235777086,0.0,0.0,0.0,0.0,50.0,0.0
32,99.26,0.02429935481856155,0.0,0.0,0.0,0.0,50.0,0.0
33,99.22,0.024231796338281857,0.0,0.0,0.0,0.0,50.0,0.0
34,99.21,0.024460537331530214,0.0,0.0,0.0,0.0,50.0,0.0
35,99.27,0.02405062726095639,0.0,0.0,0.0,0.0,50.0,0.0
36,99.23,0.02394093520080496,0.0,0.0,0.0,0.0,50.0,0.0
37,99.24,0.02451498847565672,0.0,0.0,0.0,0.0,50.0,0.0
38,99.22,0.025194051332944944,0.0,0.0,0.0,0.0,50.0,0.0
39,99.21,0.023762174558843253,0.0,0.0,0.0,0.0,50.0,0.0
40,99.23,0.024731998917231976,0.0,0.0,0.0,0.0,50.0,0.0
41,99.24,0.02345293114195083,0.0,0.0,0.0,0.0,50.0,0.0
42,99.22,0.023427441160842135,0.0,0.0,0.0,0.0,50.0,0.0
43,99.24,0.024534413102322288,0.0,0.0,0.0,0.0,50.0,0.0
44,99.24,0.02477808088336642,0.0,0.0,0.0,0.0,50.0,0.0
45,99.22,0.023932411737307483,0.0,0.0,0.0,0.0,50.0,0.0
46,99.23,0.024612665900388676,0.0,0.0,0.0,0.0,50.0,0.0
47,99.27,0.024338341941182444,0.0,0.0,0.0,0.0,50.0,0.0
48,99.25,0.024180956372207584,0.0,0.0,0.0,0.0,50.0,0.0
49,99.27,0.02461562455723106,0.0,0.0,0.0,0.0,50.0,0.0
