round,accuracy,loss,shap_cosine,shap_topk,shap_mse,shap_spearman,epsilon_w,epsilon_s
0,95.96,0.2032627685546875,0.0,0.0,0.0,0.0,100.0,0.0
1,98.04,0.058303881485573944,0.0,0.0,0.0,0.0,100.0,0.0
2,98.49,0.04479988570336718,0.0,0.0,0.0,0.0,100.0,0.0
3,98.74,0.03853920526257716,0.0,0.0,0.0,0.0,100.0,0.0
4,98.91,0.03226358757460257,0.0,0.0,0.0,0.0,100.0,0.0
5,98.98,0.029718802112783306,0.0,0.0,0.0,0.0,100.0,0.0
6,99.07,0.028374229059834034,0.0,0.0,0.0,0.0,100.0,0.0
7,99.06,0.027756377904460533,0.0,0.0,0.0,0.0,100.0,0.0
8,99.16,0.02662643203238258,0.0,0.0,0.0,0.0,100.0,0.0
9,99.12,0.026342239703953964,0.0,0.0,0.0,0.0,100.0,0.0
10,99.2,0.025026997440936977,0.0,0.0,0.0,0.0,100.0,0.0
11,99.26,0.025649373497607302,0.0,0.0,0.0,0.0,100.0,0.0
12,99.24,0.02591729163805139,0.0,0.0,0.0,0.0,100.0,0.0
13,99.18,0.026457173894251902,0.0,0.0,0.0,0.0,100.0,0.0
14,99.24,0.025485749153356302,0.0,0.0,0.0,0.0,100.0,0.0
15,99.26,0.025561462538444903,0.0,0.0,0.0,0.0,100.0,0.0
16,99.26,0.025465544224409678,0.0,0.0,0.0,0.0,100.0,0.0
17,99.25,0.024645002663560445,0.0,0.0,0.0,0.0,100.0,0.0
18,99.3,0.024814684875900276,0.0,0.0,0.0,0.0,100.0,0.0
19,99.27,0.025022664878899377,0.0,0.0,0.0,0.0,100.0,0.0
20,99.29,0.024030909545201574,0.0,0.0,0.0,0.0,100.0,0.0
21,99.28,0.02438923515104034,0.0,0.0,0.0,0.0,100.0,0.0
22,99.24,0.02535600434118787,0.0,0.0,0.0,0.0,100.0,0.0
23,99.32,0.02450063502359262,0.0,0.0,0.0,0.0,100.0,0.0
24,99.25,0.02455328283209019,0.0,0.0,0.0,0.0,100.0,0.0
25,99.32,0.024708247827158993,0.0,0.0,0.0,0.0,100.0,0.0
26,99.31,0.024930204359511116,0.0,0.0,0.0,0.0,100.0,0.0
27,99.32,0.02493916011426154,0.0,0.0,0.0,0.0,100.0,0.0
28,99.29,0.026203877898224162,0.0,0.0,0.0,0.0,100.0,0.0
29,99.26,0.024797651223521462,0.0,0.0,0.0,0.0,100.0,0.0
30,99.27,0.0253396113338149,0.0,0.0,0.0,0.0,100.0,0.0
31,99.29,0.025099425152158256,0.0,0.0,0.0,0.0,100.0,0.0
32,99.32,0.025506521047585193,0.0,0.0,0.0,0.0,100.0,0.0
33,99.27,0.024925706860011634,0.0,0.0,0.0,0.0,100.0,0.0
34,99.28,0.025555697201393196,0.0,0.0,0.0,0.0,100.0,0.0
35,99.27,0.025718315918145163,0.0,0.0,0.0,0.0,100.0,0.0
36,99.32,0.025204915296370565,0.0,0.0,0.0,0.0,100.0,0.0
37,99.3,0.025501237424334067,0.0,0.0,0.0,0.0,100.0,0.0
38,99.29,0.025729972720737352,0.0,0.0,0.0,0.0,100.0,0.0
39,99.33,0.024705773217382376,0.0,0.0,0.0,0.0,100.0,0.0
40,99.28,0.025116826518952622,0.0,0.0,0.0,0.0,100.0,0.0
41,99.25,0.02556259310841451,0.0,0.0,0.0,0.0,100.0,0.0
42,99.31,0.025568638298878794,0.0,0.0,0.0,0.0,100.0,0.0
43,99.31,0.025683490381278897,0.0,0.0,0.0,0.0,100.0,0.0
44,99.27,0.02638215619168368,0.0,0.0,0.0,0.0,100.0,0.0
45,99.29,0.02517520981534144,0.0,0.0,0.0,0.0,100.0,0.0
46,99.24,0.025561540091530333,0.0,0.0,0.0,0.0,100.0,0.0
47,99.28,0.025577134792913965,0.0,0.0,0.0,0.0,100.0,0.0
48,99.29,0.024918124102578803,0.0,0.0,0.0,0.0,100.0,0.0
49,99.3,0.02466743801602461,0.0,0.0,0.0,0.0,100.0,0.0
