round,accuracy,loss,shap_cosine,shap_topk,shap_mse,shap_spearman,epsilon_w,epsilon_s
0,95.35,0.2151432648897171,0.015447939746081829,0.04,88.80259704589844,0.015668994005098927,49.504950495049506,0.49504950495049505
1,97.92,0.06282985306465998,-0.03281448781490326,0.08,6.526541709899902,-0.014655135060833031,48.03947195761616,1.9605280423838412
2,98.45,0.04537522763705347,-0.0624358244240284,0.02,1.6353522539138794,-0.05051103829774095,46.15581731933179,3.8441826806682124
3,98.65,0.03869474326141644,0.02529893070459366,0.06,0.730934202671051,0.009700962162447526,44.346021835857876,5.653978164142126
4,98.83,0.03468991953252116,0.00255412794649601,0.06,0.4891660213470459,0.052602032100635854,42.607189448310564,7.392810551689433
5,98.8,0.032998968881182374,0.02219502069056034,0.08,0.2726316452026367,0.02519302764666889,40.936537653899094,9.06346234610091
6,98.89,0.031745274994458304,-0.02193707972764969,0.14,0.22552017867565155,-0.004816091455983521,39.33139305332767,10.668606946672327
7,98.97,0.030229679342592134,0.011079972609877586,0.12,0.15941141545772552,-0.010642779697719925,37.78918707278628,12.210812927213727
8,98.99,0.029619060954674207,0.029532473534345627,0.04,0.14271977543830872,0.09485843975191659,36.30745185368455,13.692548146315453
9,99.1,0.028726426790180268,0.03351384028792381,0.06,0.10648903250694275,0.0038641886214914986,34.883816303551555,15.116183696448449
10,99.07,0.02767346579908626,0.021288175135850906,0.08,0.0922233834862709,0.027368538747221564,33.51600230178197,16.483997698218033
11,99.1,0.027096089011026198,0.06467542052268982,0.1,0.07362265139818192,0.06061115419152507,32.20182105415707,17.79817894584293
12,99.14,0.026401072931609815,0.11238198727369308,0.02,0.067243292927742,0.05607416405320456,30.939169590307042,19.060830409692958
13,99.17,0.024882975221717788,0.07644908130168915,0.04,0.05744253844022751,0.03311758263595357,29.726027398509718,20.273972601490282
14,99.2,0.025425847712032556,0.11050380021333694,0.04,0.051103897392749786,0.10518665772187782,28.560453192440743,21.439546807559257
15,99.18,0.025847043482655135,0.08905895054340363,0.04,0.05004306882619858,0.06974564626348378,27.440581804701324,22.559418195298676
16,99.21,0.02522963585808175,0.09526887536048889,0.08,0.04452028498053551,0.0602546077366447,26.364621202152428,23.635378797847572
17,99.19,0.02532155189510595,0.10819541662931442,0.1,0.038633279502391815,0.06912078104541472,25.330849618279476,24.669150381720524
18,99.21,0.024732374697033082,0.13751129806041718,0.04,0.035977765917778015,0.06434473196262912,24.337612797998585,25.662387202001412
19,99.29,0.024311750060033957,0.19743436574935913,0.04,0.03231271356344223,0.1294707135361649,23.38332135049546,26.61667864950454
20,99.22,0.02379603850998974,0.12670397758483887,0.1,0.03349064663052559,0.05889192194924679,22.466448205861077,27.533551794138923
21,99.24,0.024068160454818282,0.08336623758077621,0.08,0.030922776088118553,0.1000995082856336,21.585526171453985,28.414473828546015
22,99.22,0.02413865896114803,0.20629030466079712,0.08,0.028267718851566315,0.14779911378857127,20.73914558407907,29.260854415920935
23,99.22,0.024136591675406816,0.131982684135437,0.14,0.02814544178545475,0.10006638866103583,19.925952054225707,30.074047945774296
24,99.26,0.02455843705830921,0.15957088768482208,0.04,0.027992194518446922,0.18586765696834412,19.144644298755605,30.855355701244395
25,99.21,0.025278239503244912,0.21512602269649506,0.08,0.023620417341589928,0.1253506073342288,18.393972058572118,31.606027941427882
26,99.23,0.024535310006875442,0.18161463737487793,0.06,0.025627804920077324,0.2005575800859915,17.672734097939006,32.327265902060994
27,99.26,0.02440325980857815,0.13143379986286163,0.04,0.023720966652035713,0.11778772860634115,16.979776282246956,33.02022371775305
28,99.24,0.024831362314629225,0.1568954586982727,0.08,0.02325567975640297,0.10750931458314346,16.313989731151974,33.68601026884803
29,99.17,0.024560809758826144,0.1720837503671646,0.1,0.021212898194789886,0.13344210515306495,15.674309044130265,34.32569095586973
30,99.26,0.02359667870372905,0.1806202232837677,0.04,0.020744217559695244,0.13789253603191037,15.05971059561011,34.940289404389894
31,99.29,0.02384376061561743,0.14063729345798492,0.04,0.02254428155720234,0.056987643142768496,14.46921089695253,35.53078910304747
32,99.29,0.0242291303172613,0.15809616446495056,0.06,0.01989428885281086,0.09520661914374066,13.901865022659706,36.098134977340294
33,99.29,0.023513102209924544,0.1701146364212036,0.12,0.019002443179488182,0.09807978393055736,13.356765098292517,36.64323490170748
34,99.27,0.023559384461930313,0.222426638007164,0.04,0.018370280042290688,0.1307046063172322,12.833038847677795,37.16696115232221
35,99.24,0.024540683385202284,0.28663450479507446,0.12,0.017430271953344345,0.17936921309266077,12.329848197080324,37.670151802919676
36,99.26,0.024864953047452582,0.24014177918434143,0.04,0.018096929416060448,0.16059123261281963,11.846387934106088,38.15361206589391
37,99.29,0.024932447984473402,0.20755600929260254,0.12,0.017365876585245132,0.15404432949693533,11.381884419190637,38.618115580809366
38,99.22,0.024514351882621122,0.21641391515731812,0.04,0.016602005809545517,0.17829613725569296,10.935594347610737,39.06440565238926
39,99.22,0.024495252432818235,0.2335454672574997,0.16,0.016913268715143204,0.17731004401174777,10.506803560038236,39.493196439961764
40,99.27,0.024093860364133433,0.24667680263519287,0.12,0.015424582175910473,0.21392334076906258,10.094825899732768,39.90517410026723
41,99.22,0.024516990500875545,0.23440374433994293,0.06,0.01644739881157875,0.13936546285546944,9.699002114544596,40.3009978854554
42,99.17,0.02403589580743901,0.15761639177799225,0.08,0.0173050444573164,0.07816906248552574,9.318698801970498,40.6813011980295
43,99.21,0.025283061546584485,0.1877327412366867,0.02,0.016989463940262794,0.17107974458543942,8.953307395574662,41.04669260442534
44,99.24,0.024743157712126047,0.23331691324710846,0.0,0.016878904774785042,0.14974024751565462,8.602243191152526,41.397756808847475
45,99.18,0.02462070744772218,0.2031153440475464,0.1,0.01633399911224842,0.1943626165599119,8.264944411079327,41.73505558892067
46,99.2,0.02398059427467033,0.2648354172706604,0.16,0.01636250503361225,0.18715404310930026,7.940871305346033,42.059128694653964
47,99.22,0.02430476306990313,0.21036142110824585,0.12,0.014976469799876213,0.10992054776372809,7.629505287844195,42.3704947121558
48,99.21,0.02480448051948115,0.19231657683849335,0.06,0.015463843941688538,0.13508324480681796,7.330348106517509,42.669651893482495
49,99.2,0.02491461466787905,0.26407718658447266,0.14,0.013607649132609367,0.1395165929319235,7.04292104605225,42.95707895394775
