round,accuracy,loss,shap_cosine,shap_topk,shap_mse,shap_spearman,epsilon_w,epsilon_s
0,95.88,0.285754012966156,0.0,0.0,0.0,0.0,20.0,0.0
1,97.9,0.06210991792269051,0.0,0.0,0.0,0.0,20.0,0.0
2,98.43,0.047815888145007195,0.0,0.0,0.0,0.0,20.0,0.0
3,98.69,0.03833506353334524,0.0,0.0,0.0,0.0,20.0,0.0
4,98.81,0.03441627894868143,0.0,0.0,0.0,0.0,20.0,0.0
5,98.85,0.033119291344610974,0.0,0.0,0.0,0.0,20.0,0.0
6,98.9,0.031747185773332603,0.0,0.0,0.0,0.0,20.0,0.0
7,98.97,0.030406947772821876,0.0,0.0,0.0,0.0,20.0,0.0
8,98.95,0.030768510022666305,0.0,0.0,0.0,0.0,20.0,0.0
9,99.01,0.028192781358025967,0.0,0.0,0.0,0.0,20.0,0.0
10,99.01,0.027452825453685364,0.0,0.0,0.0,0.0,20.0,0.0
11,99.03,0.026504454984905897,0.0,0.0,0.0,0.0,20.0,0.0
12,99.06,0.025648861925012898,0.0,0.0,0.0,0.0,20.0,0.0
13,99.14,0.025785463956720194,0.0,0.0,0.0,0.0,20.0,0.0
14,99.09,0.026480709504993864,0.0,0.0,0.0,0.0,20.0,0.0
15,99.08,0.026562834588269472,0.0,0.0,0.0,0.0,20.0,0.0
16,99.18,0.0246206330979825,0.0,0.0,0.0,0.0,20.0,0.0
17,99.2,0.025292676165961894,0.0,0.0,0.0,0.0,20.0,0.0
18,99.09,0.026235524613031885,0.0,0.0,0.0,0.0,20.0,0.0
19,99.14,0.0258358055598801,0.0,0.0,0.0,0.0,20.0,0.0
20,99.17,0.02620833217597101,0.0,0.0,0.0,0.0,20.0,0.0
21,99.19,0.025680510886598496,0.0,0.0,0.0,0.0,20.0,0.0
22,99.19,0.025595412419454077,0.0,0.0,0.0,0.0,20.0,0.0
23,99.17,0.025572101406256844,0.0,0.0,0.0,0.0,20.0,0.0
24,99.2,0.025410128141753377,0.0,0.0,0.0,0.0,20.0,0.0
25,99.19,0.0248217843446022,0.0,0.0,0.0,0.0,20.0,0.0
26,99.16,0.026339356576449792,0.0,0.0,0.0,0.0,20.0,0.0
27,99.2,0.02549989449392451,0.0,0.0,0.0,0.0,20.0,0.0
28,99.23,0.025298500386314118,0.0,0.0,0.0,0.0,20.0,0.0
29,99.18,0.025642250608246833,0.0,0.0,0.0,0.0,20.0,0.0
30,99.15,0.025475331254901538,0.0,0.0,0.0,0.0,20.0,0.0
31,99.16,0.025513762370785117,0.0,0.0,0.0,0.0,20.0,0.0
32,99.17,0.025378748270941286,0.0,0.0,0.0,0.0,20.0,0.0
33,99.18,0.02561420845926623,0.0,0.0,0.0,0.0,20.0,0.0
34,99.2,0.02505387484984094,0.0,0.0,0.0,0.0,20.0,0.0
35,99.17,0.02465482340245144,0.0,0.0,0.0,0.0,20.0,0.0
36,99.18,0.02526693179617432,0.0,0.0,0.0,0.0,20.0,0.0
37,99.17,0.025597327081909316,0.0,0.0,0.0,0.0,20.0,0.0
38,99.17,0.02551200522693034,0.0,0.0,0.0,0.0,20.0,0.0
39,99.16,0.02509150780174241,0.0,0.0,0.0,0.0,20.0,0.0
40,99.19,0.024788935566908914,0.0,0.0,0.0,0.0,20.0,0.0
41,99.22,0.024698901439829207,0.0,0.0,0.0,0.0,20.0,0.0
42,99.19,0.0242896772042448,0.0,0.0,0.0,0.0,20.0,0.0
43,99.18,0.02533356990595712,0.0,0.0,0.0,0.0,20.0,0.0
44,99.17,0.025949923406506058,0.0,0.0,0.0,0.0,20.0,0.0
45,99.19,0.025015180342937673,0.0,0.0,0.0,0.0,20.0,0.0
46,99.23,0.02472850947141269,0.0,0.0,0.0,0.0,20.0,0.0
47,99.23,0.02479688989846909,0.0,0.0,0.0,0.0,20.0,0.0
48,99.17,0.026202490439275063,0.0,0.0,0.0,0.0,20.0,0.0
49,99.19,0.025666396158940917,0.0,0.0,0.0,0.0,20.0,0.0
