round,accuracy,loss,shap_cosine,shap_topk,shap_mse,shap_spearman,epsilon_w,epsilon_s
0,83.37,0.5531161122322082,0.014297972433269024,0.0,93.6296615600586,0.044898507027087864,49.504950495049506,0.49504950495049505
1,95.68,0.14525437545776368,0.017561696469783783,0.0,0.4644228219985962,0.012470659249862915,43.03539882125289,6.96460117874711
2,96.8,0.10469044633209705,0.08345293253660202,0.1,0.14265942573547363,0.05462245371096677,37.040911034085894,12.959088965914106
3,97.36,0.08102651873230934,0.10573484003543854,0.0,0.0766245573759079,0.05705435552945829,31.881407581088666,18.118592418911334
4,97.8,0.06870067596957087,0.1332840472459793,0.0,0.04761885479092598,0.14625083359355895,27.44058180470132,22.55941819529868
5,98.09,0.06060341260246933,0.20635119080543518,0.1,0.03371689096093178,0.16812547407131825,23.618327637050733,26.381672362949267
6,98.19,0.05499106426164508,0.0926135703921318,0.0,0.03077562525868416,0.066119968743043,20.328482987029957,29.67151701297004
7,98.4,0.050373576962389054,0.18073080480098724,0.0,0.024525070562958717,0.11253978712797075,17.496887455557772,32.503112544442224
8,98.47,0.04633057987615466,0.22841626405715942,0.0,0.020522000268101692,0.17257187083047587,15.0597105956101,34.9402894043899
9,98.48,0.04440541090006009,0.2454891949892044,0.1,0.018492477014660835,0.21101030792286166,12.962013032294575,37.03798696770543
10,98.6,0.04227468410115689,0.1889014095067978,0.0,0.01811797358095646,0.11079654938335244,11.15650800742149,38.84349199257851
11,98.5,0.04234337939582765,0.22484572231769562,0.0,0.015606069937348366,0.15840835052814597,9.602495431037704,40.3975045689623
12,98.67,0.03880369237735867,0.2018466293811798,0.0,0.01622389443218708,0.16458682894784682,8.264944411079329,41.73505558892067
13,98.73,0.03698903767690063,0.21035584807395935,0.1,0.01603723131120205,0.16575383502841065,7.113703579325676,42.88629642067433
14,98.63,0.03796686304649338,0.2485397458076477,0.1,0.014149470254778862,0.21108498894103364,6.122821412649097,43.877178587350905
15,98.76,0.035734048327524214,0.25416404008865356,0.0,0.01382649876177311,0.19965784688573432,5.269961228093217,44.730038771906784
16,98.59,0.04100881346873939,0.2822772264480591,0.1,0.013156987726688385,0.18506875185830976,4.535897664470624,45.464102335529375
17,98.52,0.04346997492639348,0.2353588342666626,0.0,0.013571668416261673,0.20489557855501817,3.9040833000576582,46.09591669994234
18,98.57,0.037192682936228814,0.2645126283168793,0.0,0.013075008988380432,0.18689839945056286,3.3602756369874878,46.63972436301251
19,98.73,0.03734746703617275,0.22455067932605743,0.1,0.012302330695092678,0.15278100258333072,2.892216043741924,47.107783956258075
