round,accuracy,loss,shap_cosine,shap_topk,shap_mse,shap_spearman,epsilon_w,epsilon_s
0,96.07,0.23061705169677735,0.03688844293355942,0.1,24.099477767944336,0.005081048452765687,99.00990099009901,0.9900990099009901
1,97.84,0.06198321148250252,0.008107565343379974,0.08,1.5110383033752441,-0.02218621396871217,96.07894391523232,3.9210560847676823
2,98.36,0.04560823316890746,0.057428084313869476,0.06,0.391397088766098,0.051999877482290964,92.31163463866358,7.688365361336425
3,98.71,0.0379378992051119,0.08237366378307343,0.0,0.17362727224826813,0.10248982380857755,88.69204367171575,11.307956328284252
4,98.76,0.03474546302594245,0.0897517204284668,0.02,0.11517102271318436,0.06737007270878188,85.21437889662113,14.785621103378865
5,98.89,0.030069566208147443,0.1451995074748993,0.06,0.0708625465631485,0.09281615420895646,81.87307530779819,18.12692469220182
6,99.01,0.030425659075414297,0.12016654759645462,0.1,0.048871807754039764,0.035576428389644164,78.66278610665535,21.337213893344654
7,99.02,0.028615184482489713,0.138003870844841,0.12,0.044178783893585205,0.14485779230060863,75.57837414557255,24.421625854427454
8,99.07,0.027385070805635767,0.12512201070785522,0.12,0.033003080636262894,0.06898817803715673,72.6149037073691,27.385096292630905
9,99.15,0.026069061761978082,0.18802455067634583,0.02,0.026201415807008743,0.14900588832062586,69.76763260710311,30.232367392896897
10,99.16,0.02549588719449821,0.15495511889457703,0.08,0.02390190027654171,0.14519190207747204,67.03200460356393,32.967995396436066
11,99.11,0.02795067851304775,0.21590162813663483,0.1,0.020868252962827682,0.11489436831911182,64.40364210831414,35.59635789168586
12,99.21,0.02467066694695386,0.15054862201213837,0.06,0.01802908256649971,0.14377587626309035,61.878339180614084,38.121660819385916
13,99.15,0.025521272413922998,0.2574262022972107,0.06,0.016757473349571228,0.16686384049190361,59.452054797019436,40.547945202980564
14,99.09,0.024964165182092983,0.22992248833179474,0.1,0.01509452797472477,0.18357030051203435,57.120906384881486,42.879093615118514
15,99.25,0.024726275585567056,0.26683399081230164,0.04,0.012717711739242077,0.1867109622969182,54.88116360940265,45.11883639059735
16,99.23,0.024296257362805773,0.25127390027046204,0.16,0.013424713164567947,0.16040105624210296,52.729242404304856,47.270757595695144
17,99.2,0.025293010215440153,0.28017306327819824,0.1,0.01119863148778677,0.20356309886133236,50.66169923655895,49.33830076344105
18,99.23,0.023941830620243854,0.28933700919151306,0.08,0.010643578134477139,0.21574086110027874,48.67522559599717,51.324774404002824
19,99.15,0.024729212090885994,0.31259527802467346,0.1,0.009576731361448765,0.21044510783301534,46.76664270099092,53.23335729900908
20,99.22,0.024459340208805223,0.35301434993743896,0.12,0.009380162693560123,0.23467084322564227,44.932896411722155,55.067103588277845
21,99.29,0.0237218584135946,0.32442474365234375,0.1,0.008859696798026562,0.22084120858241535,43.17105234290797,56.82894765709203
22,99.28,0.02384912443225039,0.37763285636901855,0.16,0.008180378936231136,0.2678932382675598,41.47829116815814,58.52170883184187
23,99.23,0.02428911751007545,0.29640141129493713,0.02,0.008914179168641567,0.22518847058554003,39.851904108451414,60.14809589154859
24,99.18,0.0241801403038422,0.34719014167785645,0.12,0.007285433355718851,0.24205094146890763,38.28928859751121,61.71071140248879
25,99.28,0.02342488448346703,0.3635399341583252,0.16,0.00746087497100234,0.24111228648425473,36.787944117144235,63.212055882855765
26,99.31,0.02300287718116888,0.33843472599983215,0.14,0.0075781140476465225,0.22545761111385032,35.34546819587801,64.65453180412199
27,99.25,0.02345476043725066,0.38532206416130066,0.2,0.007095544133335352,0.2556219442165914,33.95955256449391,66.0404474355061
28,99.26,0.023916625235693937,0.3683496415615082,0.12,0.006984364241361618,0.25883472211638886,32.62797946230395,67.37202053769606
29,99.28,0.02339824555467858,0.3492966294288635,0.12,0.007239981554448605,0.3111277705313036,31.34861808826053,68.65138191173946
30,99.3,0.023569902408572308,0.41469278931617737,0.16,0.006175281014293432,0.3095523720872784,30.11942119122022,69.88057880877979
31,99.29,0.023798694996691846,0.40524840354919434,0.18,0.00599559023976326,0.30771206645041793,28.93842179390506,71.06157820609494
32,99.31,0.02350061567611574,0.4372231960296631,0.22,0.006042240187525749,0.31639585770613976,27.803730045319412,72.19626995468059
33,99.28,0.02363006576586231,0.39257514476776123,0.14,0.005904156249016523,0.3075747320672174,26.713530196585033,73.28646980341496
34,99.25,0.023958490955865636,0.36796143651008606,0.04,0.006129628978669643,0.2733420141612542,25.66607769535559,74.33392230464442
35,99.27,0.023760822109444416,0.40086013078689575,0.16,0.006115389056503773,0.30224506231220805,24.659696394160648,75.34030360583935
36,99.3,0.023872470102785155,0.45308902859687805,0.14,0.005528821609914303,0.31222046912329615,23.692775868212177,76.30722413178782
37,99.3,0.02369807809467602,0.42043399810791016,0.12,0.005642334930598736,0.3096559642965466,22.763768838381274,77.23623116161873
38,99.3,0.023419654182920566,0.4104570150375366,0.14,0.005465624388307333,0.31085721059051047,21.871188695221473,78.12881130477852
39,99.22,0.02441539672446015,0.380901962518692,0.14,0.005554828327149153,0.25975412787561764,21.013607120076472,78.98639287992353
40,99.28,0.023564739743933753,0.4620819091796875,0.2,0.00514367688447237,0.3730930940353299,20.189651799465537,79.81034820053446
41,99.23,0.024918669483650593,0.47861945629119873,0.16,0.005186585243791342,0.3619172377934262,19.398004229089192,80.6019957709108
42,99.23,0.024330622675409905,0.45636695623397827,0.2,0.004886535461992025,0.37715380903075046,18.637397603940997,81.362602396059
43,99.31,0.023663088246787083,0.496624231338501,0.16,0.00466668326407671,0.36620842055249514,17.906614791149323,82.09338520885068
44,99.32,0.023422488449593402,0.4297334849834442,0.16,0.005131191108375788,0.32410443788028426,17.204486382305053,82.79551361769495
45,99.28,0.02312798075086084,0.38033029437065125,0.12,0.005338708870112896,0.29628736478851003,16.529888822158654,83.47011117784135
46,99.3,0.02396685956058809,0.4461434483528137,0.22,0.005123298615217209,0.3067927104951359,15.881742610692067,84.11825738930793
47,99.2,0.024750400788932165,0.46062901616096497,0.12,0.004963728133589029,0.3616667737451522,15.25901057568839,84.7409894243116
48,99.24,0.024660472517470406,0.43952736258506775,0.18,0.004826553165912628,0.31735802015366515,14.660696213035019,85.33930378696499
49,99.28,0.02447579233726392,0.4399464428424835,0.16,0.0051102954894304276,0.31071235581134865,14.0858420921045,85.9141579078955
