round,accuracy,loss,shap_cosine,shap_topk,shap_mse,shap_spearman,epsilon_w,epsilon_s
0,95.34,0.22910710730552675,0.08366107940673828,0.14,0.23157541453838348,0.05467494707085559,10.0,10.0
1,97.75,0.06392585177328437,0.10013620555400848,0.1,0.24518725275993347,0.045725202739416285,10.0,10.0
2,98.33,0.04612321737986058,0.06719060987234116,0.04,0.2378677874803543,0.08339675865953672,10.0,10.0
3,98.65,0.03926311198248295,0.027834229171276093,0.08,0.21934640407562256,0.026517688120712812,10.0,10.0
4,98.82,0.034145876415469685,0.09155169129371643,0.04,0.2238718867301941,0.06461451994224734,10.0,10.0
5,98.87,0.03190462452087086,0.051650017499923706,0.08,0.23406992852687836,0.05908075361340085,10.0,10.0
6,98.96,0.030137071412120714,0.08887797594070435,0.04,0.2119493931531906,0.0841666778725547,10.0,10.0
7,98.98,0.029109761208904093,0.10834304988384247,0.06,0.22280572354793549,0.06345839602405133,10.0,10.0
8,99.04,0.02707825539181358,0.02860749326646328,0.08,0.22455382347106934,0.056953378027395155,10.0,10.0
9,99.12,0.02617165383900283,0.10126631706953049,0.1,0.22720640897750854,0.06306198150978673,10.0,10.0
10,99.09,0.026789879082588595,0.036480601876974106,0.06,0.23595623672008514,0.04458914981176598,10.0,10.0
11,99.09,0.026492594579022262,0.049804605543613434,0.04,0.2171560376882553,0.0400869975342066,10.0,10.0
12,99.17,0.02640461674957478,0.03177446871995926,0.08,0.24805013835430145,0.06907483690452533,10.0,10.0
13,99.2,0.025834226355783176,0.07326658070087433,0.06,0.24305008351802826,-0.0011524882300822813,10.0,10.0
14,99.15,0.026555575897432574,0.003523303894326091,0.12,0.2434462010860443,-0.059120098731344065,10.0,10.0
15,99.1,0.024967492239677813,0.08314136415719986,0.04,0.22761239111423492,0.05820029454054117,10.0,10.0
16,99.22,0.025258825093720225,0.06537483632564545,0.04,0.24486549198627472,0.048794844096215255,10.0,10.0
17,99.15,0.02501314899611316,0.05865609273314476,0.06,0.226962611079216,0.05445927107939596,10.0,10.0
18,99.21,0.024297936168461456,0.07250544428825378,0.02,0.22968852519989014,0.03767683513847738,10.0,10.0
19,99.14,0.0243497532845824,0.012561148032546043,0.04,0.22275441884994507,0.005097035519676792,10.0,10.0
20,99.14,0.024450794948961994,0.03913281857967377,0.06,0.2392784059047699,0.01967529818868026,10.0,10.0
21,99.19,0.024251544116454898,-0.014842747710645199,0.08,0.2501547932624817,-0.0037937907427411993,10.0,10.0
22,99.16,0.024165252988661085,0.04734857380390167,0.04,0.24954338371753693,0.023643253333253643,10.0,10.0
23,99.24,0.023529003633206595,-0.034165557473897934,0.1,0.21937459707260132,-0.023846478338022375,10.0,10.0
24,99.2,0.02446895005248298,0.086118184030056,0.08,0.2406611144542694,0.05281230436387162,10.0,10.0
25,99.22,0.023871196020011847,0.089651919901371,0.08,0.24590381979942322,0.06874690281706064,10.0,10.0
26,99.17,0.02452510438987956,0.047327615320682526,0.1,0.22452057898044586,0.006866619552133029,10.0,10.0
27,99.19,0.024729026894865093,-0.010969186201691628,0.02,0.2283107340335846,0.018370633999261907,10.0,10.0
28,99.14,0.024363360866253788,0.0913814827799797,0.08,0.24310848116874695,0.037038099521234664,10.0,10.0
29,99.13,0.024048818206101715,0.07317768782377243,0.08,0.22285185754299164,0.03103699785793225,10.0,10.0
30,99.21,0.02372115316216659,0.046437930315732956,0.06,0.2211839109659195,0.08654760535153369,10.0,10.0
31,99.11,0.02546716543301227,0.056181829422712326,0.12,0.22198472917079926,0.03472032344675186,10.0,10.0
32,99.21,0.023952692756141186,0.0662781149148941,0.04,0.25919613242149353,0.04601595818062199,10.0,10.0
33,99.13,0.024249427646028197,0.060307569801807404,0.04,0.22384880483150482,0.07033858715167741,10.0,10.0
34,99.25,0.023543643638916548,0.058942101895809174,0.04,0.23546002805233002,0.08019438978461288,10.0,10.0
35,99.18,0.025104048682252324,0.006974952761083841,0.1,0.25112587213516235,-0.020544352157731094,10.0,10.0
36,99.21,0.025343777878556285,0.07002120465040207,0.06,0.2321508526802063,0.061113451896608995,10.0,10.0
37,99.18,0.02549673495958268,0.0671703964471817,0.06,0.21614374220371246,0.08871131291670341,10.0,10.0
38,99.25,0.02446436153666655,-0.004365353845059872,0.02,0.22672003507614136,-0.02857222543457679,10.0,10.0
39,99.24,0.02470121928129738,0.06017407402396202,0.08,0.23499776422977448,0.04329850543336157,10.0,10.0
40,99.21,0.024883753427196644,0.010875100269913673,0.1,0.2386161834001541,-0.04449810819708218,10.0,10.0
41,99.19,0.024778752875430108,0.07527108490467072,0.08,0.23914068937301636,0.05768703996716924,10.0,10.0
42,99.21,0.024943213367816134,0.032186634838581085,0.04,0.23134131729602814,0.009083094398898735,10.0,10.0
43,99.23,0.024476133345926063,0.0710776299238205,0.16,0.2427794188261032,0.03575861122690528,10.0,10.0
44,99.18,0.0248596879332712,0.02430088445544243,0.0,0.242216557264328,0.009987334856338025,10.0,10.0
45,99.21,0.02520537522052764,0.07968604564666748,0.02,0.25108176469802856,0.03961475651099447,10.0,10.0
46,99.14,0.025110944140912035,0.05098741129040718,0.06,0.22670936584472656,0.02382414126789892,10.0,10.0
47,99.22,0.024987859742813815,0.005062995944172144,0.0,0.23427200317382812,-0.03606293824360405,10.0,10.0
48,99.19,0.025406943069209955,0.04091465845704079,0.04,0.25029540061950684,0.0570287812027952,10.0,10.0
49,99.21,0.026328269504568742,0.043293148279190063,0.08,0.21963214874267578,0.039781425418838744,10.0,10.0
